average_performance_original_FSM, discounted_WIS, discounted_OIS, proportional_discounted_WIS, proportional_discounted_OIS, WIS, OIS, proportional_WIS, proportional_OIS, average_simulation
41.3, 52.688, 17.134, 43.643, 0.138, 26.667000, 0.0, 13.333000, 0.0, 24.9333
39.1, 1.2812470482265288e+16, 0.217, 37.344, 0.005, 39.076000, 0.0, 13.025000, 0.0, 23.1667
39.1, 160965836694458.22, 0.322, 37.299, 0.007, 38.000000, 0.0, 12.667000, 0.0, 24
46.4, 1.0062045968848365e+71, 3.81, 50.1, 0.025, 46.000000, 0.0, 15.333000, 0.0, 25.5667
41.3, 61.334, 14.356, 44.732, 0.025, 26.780000, 0.0, 13.390000, 0.0, 25.4667
40.7, 404986.822, 0.238, 38.088, 0.007, 40.752000, 0.0, 13.584000, 0.0, 26.1
39.15, 1106.016, 0.303, 36.367, 0.009, 42.000000, 0.0, 14.000000, 0.0, 23.4667
43.3, , 17.209, 48.14, 0.863, 14.660000, 8.705000, 3.000000, 0.113000, 28.6
43.3, , 17.209, 48.14, 0.863, 14.660000, 8.705000, 3.000000, 0.113000, 28.9667
46.4, 4.942174987092177e+81, 3.772, 50.199, 0.024, 45.999000, 0.0, 15.333000, 0.0, 24.9333
40.7, 2796.904, 0.686, 38.072, 0.021, 40.172000, 0.0, 13.391000, 0.0, 26.2
39.15, 36.051, 0.61, 36.454, 0.018, 42.000000, 0.0, 14.000000, 0.0, 25.8667
39.15, 36.824, 0.576, 36.172, 0.019, 35.000000, 0.0, 11.667000, 0.0, 23.9
41.3, 49.393, 14.426, 44.772, 0.028, 29.993000, 0.0, 14.996000, 0.0, 37
42.85, , 14.022, 39.711, 0.174, 41.643000, 10.713000, 10.026000, 0.0, 35.5667
42.85, , 14.022, 39.711, 0.174, 41.643000, 10.713000, 10.026000, 0.0, 35.6333
43.1, 58.044, 22.479, 54.567, 0.045, 44.446000, 10.775000, 11.224000, 0.0, 41.5333
39.1, 154.087, 2.958, 37.326, 0.073, 38.000000, 0.0, 12.667000, 0.0, 35.0667
39.1, 40.864, 4.438, 37.234, 0.106, 38.790000, 0.0, 12.930000, 0.0, 36.3333
41.3, 47.194, 17.712, 43.404, 0.162, 26.705000, 0.0, 13.353000, 0.0, 36.7
